student_id,attendance,marks,assignment,lms,risk_score,risk_label
102,44,82,61,48,40.8,Medium
103,46,99,54,29,38.2,Medium
104,44,54,40,55,52.7,Medium
105,87,62,42,31,35.1,Medium
106,92,40,69,66,30.8,Medium
107,43,31,70,59,53.6,Medium
108,52,99,44,31,37.6,Medium
109,76,80,91,30,24.4,Low
110,92,67,48,47,28.8,Low
111,80,93,87,94,13.3,Low
112,54,50,36,22,54,Medium
113,55,62,93,70,33.8,Medium
114,60,65,37,59,43.2,Medium
115,75,95,98,61,15.8,Low
116,98,31,37,68,37.3,Medium
117,63,47,56,46,44.9,Medium
118,55,37,55,47,51.2,Medium
119,53,40,90,53,43.5,Medium
120,93,33,55,38,38.1,Medium
121,61,91,74,40,29.5,Low
122,88,62,77,86,22.2,Low
123,89,95,71,57,16,Low
124,45,41,47,70,53.3,Medium
125,81,53,73,23,34.8,Medium
126,75,73,96,78,21.1,Low
127,40,75,76,26,43.7,Medium
128,71,77,52,77,30.4,Medium
129,45,78,54,71,40.7,Medium
130,70,97,81,88,17.9,Low
131,40,87,68,63,38,Medium
132,89,48,44,69,34.3,Medium
133,90,30,52,45,40.1,Medium
134,76,98,80,56,18.6,Low
135,74,86,83,41,23.9,Low
136,88,53,63,85,27.8,Low
137,69,59,65,87,33,Medium
138,43,75,80,27,41.6,Medium
139,74,88,98,46,19.8,Low
140,82,74,62,90,23.6,Low
141,53,58,89,40,39.6,Medium
142,88,31,60,30,40.5,Medium
143,79,36,69,66,37.2,Medium
144,61,73,55,70,35.7,Medium
145,49,73,77,52,37.9,Medium
146,40,77,68,94,37.9,Medium
147,50,66,71,80,38,Medium
148,90,54,77,90,23.4,Low
149,83,89,37,38,28.9,Low
150,98,85,46,83,17.8,Low
151,63,69,41,49,41,Medium
152,99,87,85,50,12.3,Low
153,42,87,97,51,32.6,Medium
154,97,30,31,89,37.1,Medium
155,74,78,40,81,30.9,Medium
156,75,63,58,72,32.3,Medium
157,70,44,95,23,37.5,Medium
158,99,85,37,87,18.8,Low
159,43,70,97,68,35.6,Medium
160,58,83,31,48,40.9,Medium
161,86,84,90,78,14.6,Low
162,75,73,85,26,28.5,Low
163,60,50,91,23,40.5,Medium
164,57,50,49,60,46.4,Medium
165,90,53,86,46,26.3,Low
166,67,49,69,55,39.2,Medium
167,54,38,50,32,53.8,Medium
168,81,33,76,74,35.1,Medium
169,98,62,90,34,20.8,Low
170,41,48,60,60,51.2,Medium
171,76,51,35,35,43.8,Medium
172,50,47,80,64,43.5,Medium
173,62,69,97,78,27.3,Low
174,83,51,69,30,34.7,Medium
175,80,61,45,21,38.6,Medium
176,51,93,32,32,42.1,Medium
177,42,66,35,33,53.1,Medium
178,91,90,48,85,18.5,Low
179,56,74,39,72,40.4,Medium
180,72,33,40,76,45.7,Medium
181,94,63,65,91,21.4,Low
182,40,39,98,55,47.2,Medium
183,78,65,76,92,24.9,Low
184,59,51,59,27,46.6,Medium
185,86,69,81,55,23.2,Low
186,82,63,45,86,30.7,Medium
187,91,41,92,55,27.4,Low
188,96,50,36,41,35.3,Medium
189,80,43,68,28,38.7,Medium
190,53,51,39,59,49.8,Medium
191,70,89,74,37,26.8,Low
192,64,40,93,91,34.7,Medium
193,42,81,34,43,47.8,Medium
194,43,95,87,31,33.8,Medium
195,70,53,65,94,33.7,Medium
196,74,93,30,67,29.8,Low
197,83,90,48,61,24.1,Low
198,53,33,88,56,45.7,Medium
199,88,78,82,28,22.2,Low
200,80,58,51,43,36.1,Medium
201,48,87,71,41,36.4,Medium
202,59,39,93,99,36.2,Medium
203,71,46,37,53,45.1,Medium
204,48,48,69,77,44.9,Medium
205,66,60,46,41,42.3,Medium
206,42,56,90,62,42.2,Medium
207,96,61,90,35,21.8,Low
208,92,87,76,76,14.3,Low
209,43,44,41,73,54.1,Medium
210,84,89,34,78,25.1,Low
211,54,96,42,76,33.6,Medium
212,72,88,47,27,32.7,Medium
213,44,66,73,37,44.3,Medium
214,43,92,44,51,41.3,Medium
215,85,68,44,24,34.4,Medium
216,51,97,33,49,39,Medium
217,62,63,40,72,41.1,Medium
218,53,63,63,41,43.2,Medium
219,97,77,86,56,15.3,Low
220,85,93,80,22,19.9,Low
221,51,48,93,75,39.1,Medium
222,96,47,51,74,29.9,Low
223,56,70,68,85,34.5,Medium
224,64,47,97,82,32.7,Medium
225,69,98,70,52,23.8,Low
226,61,57,59,99,36.8,Medium
227,86,44,81,34,32.8,Medium
228,65,61,37,78,40.5,Medium
229,56,88,99,33,28.1,Low
230,97,51,74,25,28.6,Low
231,94,50,64,70,27.6,Low
232,93,81,36,49,26.4,Low
233,59,98,34,47,35.5,Medium
234,73,99,76,77,18.2,Low
235,80,33,89,71,33.2,Medium
236,72,87,81,39,25,Low
237,76,59,51,72,34.5,Medium
238,99,83,80,42,15.3,Low
239,99,92,69,86,10.4,Low
240,97,58,72,47,24.7,Low
241,46,49,72,47,47.8,Medium
242,61,94,66,65,27.7,Low
243,71,74,44,62,34.4,Medium
244,53,58,46,84,43.8,Medium
245,47,69,38,38,49.1,Medium
246,96,36,83,75,26.7,Low
247,64,34,68,59,44.7,Medium
248,55,88,88,71,26.9,Low
249,81,98,90,23,17.9,Low
250,58,58,76,86,35.6,Medium
251,80,47,92,53,30.2,Medium
252,94,82,30,23,29.5,Low
253,55,40,55,44,50.6,Medium
254,51,75,41,61,42.8,Medium
255,78,96,48,47,25.7,Low
256,87,62,64,36,30.2,Medium
257,69,81,65,24,32.7,Medium
258,97,95,36,53,20.2,Low
259,41,36,74,53,52.7,Medium
260,71,85,94,73,20,Low
261,94,46,52,30,35.2,Medium
262,84,86,77,64,18.8,Low
263,64,52,87,61,35.3,Medium
264,64,56,30,56,46,Medium
265,43,74,72,47,41.5,Medium
266,58,82,52,44,37.4,Medium
267,87,46,96,60,26.2,Low
268,43,47,30,78,54.9,Medium
269,82,58,58,77,30.5,Medium
270,52,65,76,24,42.1,Medium
271,78,56,56,27,38.1,Medium
272,75,74,89,79,22.1,Low
273,62,76,96,78,25.4,Low
274,45,62,66,27,47.5,Medium
275,63,93,37,52,34.3,Medium
276,83,79,74,66,21.7,Low
277,72,74,62,39,32.7,Medium
278,51,54,96,22,42,Medium
279,80,95,87,96,12.5,Low
280,60,61,37,86,41.7,Medium
281,50,65,80,90,35.5,Medium
282,94,92,96,94,6.2,Low
283,83,69,99,36,22.7,Low
284,77,31,97,57,34.8,Medium
285,68,45,81,78,35.3,Medium
286,87,77,43,86,24.9,Low
287,80,62,74,61,28.5,Low
288,42,59,88,92,38.7,Medium
289,67,58,45,63,40.5,Medium
290,59,40,72,41,45.9,Medium
291,65,87,30,46,37.3,Medium
292,63,61,99,50,31.7,Medium
293,93,77,80,73,16.4,Low
294,91,62,51,62,28.6,Low
295,86,54,74,61,28.5,Low
296,60,66,53,56,40,Medium
297,93,71,78,64,19.5,Low
298,69,85,51,31,33.6,Medium
299,43,85,53,55,41.2,Medium
300,75,99,84,91,14.4,Low
301,79,52,39,21,42.9,Medium
302,49,55,37,47,51.8,Medium
303,49,41,33,23,59.2,Medium
304,81,88,90,63,16.9,Low
305,63,96,36,36,35.2,Medium
306,43,62,33,59,51.7,Medium
307,86,45,68,23,36.2,Medium
308,66,82,65,97,26.3,Low
309,90,96,34,97,18.7,Low
310,84,45,32,60,40.5,Medium
311,43,45,64,25,54,Medium
312,71,58,68,39,36.7,Medium
313,49,37,70,80,47.3,Medium
314,50,96,81,32,31.8,Medium
315,67,45,35,21,50.6,Medium
316,85,68,67,48,27.4,Low
317,47,99,99,60,25.7,Low
318,79,68,46,27,36.1,Medium
319,61,71,66,27,38.4,Medium
320,73,51,46,97,36.6,Medium
321,84,40,84,88,28.8,Low
322,74,52,94,73,28.7,Low
323,74,55,41,47,41,Medium
324,64,92,30,25,38.3,Medium
325,73,39,39,85,42.8,Medium
326,45,79,81,47,37.4,Medium
327,80,70,91,53,23.5,Low
328,76,71,55,35,33.8,Medium
329,40,51,74,44,49.5,Medium
330,51,86,35,72,39.6,Medium
331,74,87,39,54,31.1,Medium
332,45,83,58,58,39.7,Medium
333,93,47,50,59,32.8,Medium
334,56,41,70,82,43.1,Medium
335,48,63,91,30,40.7,Medium
336,41,51,79,30,49.5,Medium
337,57,61,76,48,38.9,Medium
338,88,43,79,41,32,Medium
339,75,91,73,81,20,Low
340,96,97,48,63,16.6,Low
341,67,91,56,88,25.9,Low
342,80,64,76,41,29.5,Low
343,92,91,45,54,21.5,Low
344,76,65,66,23,34.6,Medium
345,88,44,65,29,35.7,Medium
346,65,54,36,57,44.9,Medium
347,43,74,95,88,32.8,Medium
348,79,88,71,83,19.5,Low
349,75,87,46,49,29.8,Low
350,90,81,66,45,22,Low
351,70,72,63,31,34.7,Medium
352,69,55,93,90,28.3,Low
353,89,42,70,91,28.7,Low
354,73,55,92,57,30.2,Medium
355,58,91,64,42,32.5,Medium
356,57,37,44,21,55.2,Medium
357,69,58,76,96,30.2,Medium
358,60,94,95,46,24.2,Low
359,42,73,32,20,52.9,Medium
360,45,51,99,55,41.4,Medium
361,77,81,41,90,27.7,Low
362,52,89,33,96,36.3,Medium
363,84,81,51,28,29.1,Low
364,93,70,90,46,19.2,Low
365,42,69,45,22,51.3,Medium
366,87,51,98,37,26.6,Low
367,67,31,86,45,42.2,Medium
368,61,71,83,97,28,Low
369,79,98,95,53,14.7,Low
370,79,77,53,59,28.8,Low
371,51,36,64,46,51.4,Medium
372,62,79,78,40,31.9,Medium
373,70,81,32,60,35.3,Medium
374,57,95,89,43,26.6,Low
375,46,90,76,86,30.8,Medium
376,47,91,95,30,31.9,Medium
377,58,87,61,96,28.9,Low
378,68,96,43,34,32,Medium
379,83,91,65,75,19,Low
380,59,59,73,33,40.8,Medium
381,89,77,54,49,25.6,Low
382,81,38,63,26,41,Medium
383,69,84,54,72,29.2,Low
384,86,92,42,76,22,Low
385,61,93,75,49,27.8,Low
386,49,86,34,55,42.3,Medium
387,65,38,75,84,39.2,Medium
388,90,98,91,91,7.3,Low
389,72,82,62,21,32.1,Medium
390,67,45,83,68,36.3,Medium
391,49,36,72,32,52,Medium
392,68,40,46,42,47.4,Medium
393,83,43,63,60,35.3,Medium
394,57,80,34,51,41.3,Medium
395,81,39,76,29,37.8,Medium
396,98,92,40,37,21.5,Low
397,40,45,82,92,44.9,Medium
398,62,86,80,35,29.9,Low
399,56,54,76,89,37.3,Medium
400,82,80,72,91,19.7,Low
401,76,75,60,78,27.3,Low
402,70,40,63,68,40.6,Medium
403,64,48,52,33,46.3,Medium
404,92,78,56,37,24.9,Low
405,43,38,83,29,51.9,Medium
406,91,34,63,74,33.4,Medium
407,48,32,49,93,52.1,Medium
408,96,75,59,74,19.9,Low
409,67,36,43,87,45.1,Medium
410,69,36,68,32,44.8,Medium
411,99,45,54,69,29.2,Low
412,86,35,44,62,40.1,Medium
413,63,92,60,62,29,Low
414,72,42,79,81,34.7,Medium
415,59,79,74,30,34.9,Medium
416,48,32,65,44,53.8,Medium
417,47,98,42,72,36.2,Medium
418,63,38,48,38,50,Medium
419,53,46,45,31,52.9,Medium
420,98,87,54,74,16.5,Low
421,57,52,55,28,47.8,Medium
422,96,58,51,71,26.9,Low
423,92,74,85,72,16.8,Low
424,95,79,89,80,12.5,Low
425,40,38,91,87,45.7,Medium
426,51,63,70,64,40.3,Medium
427,68,31,96,83,36,Medium
428,76,92,92,34,20.2,Low
429,65,58,58,59,39.1,Medium
430,72,52,52,93,35.9,Medium
431,82,93,64,62,20.3,Low
432,54,93,98,32,27.7,Low
433,62,67,57,37,40,Medium
434,68,89,77,21,28.6,Low
435,60,48,90,67,36.9,Medium
436,58,98,31,86,32.6,Medium
437,44,46,72,50,49.2,Medium
438,62,79,88,77,26.2,Low
439,75,97,72,25,24,Low
440,98,40,41,36,37,Medium
441,59,69,49,56,40.3,Medium
442,47,84,79,65,33.7,Medium
443,48,60,77,74,40,Medium
444,53,71,33,48,46.1,Medium
445,45,91,97,64,28.9,Low
446,40,66,47,74,47.4,Medium
447,48,61,67,59,43.2,Medium
448,55,65,63,64,39.5,Medium
449,55,46,68,99,40.7,Medium
450,93,38,78,50,30.8,Medium
451,51,45,89,66,41.7,Medium
452,44,85,59,47,40.4,Medium
453,79,82,36,42,32.4,Medium
454,68,89,81,52,24.7,Low
455,85,55,71,64,28.9,Low
456,66,74,88,32,30.6,Medium
457,50,53,42,52,50.5,Medium
458,92,59,41,67,30.6,Medium
459,86,89,72,80,16.5,Low
460,89,49,89,67,25.2,Low
461,67,99,74,38,24.9,Low
462,91,35,93,56,28.9,Low
463,75,72,48,89,29.9,Low
464,81,74,92,27,24.3,Low
465,58,32,98,99,37.7,Medium
466,93,73,79,73,17.8,Low
467,74,45,96,58,31.9,Medium
468,91,83,63,50,21.1,Low
469,70,38,68,50,42,Medium
470,93,86,97,90,8.6,Low
471,98,94,53,69,15.1,Low
472,83,32,49,36,43.8,Medium
473,95,35,84,95,25.2,Low
474,58,61,81,61,36.2,Medium
475,85,43,55,32,38.9,Medium
476,63,83,92,65,25,Low
477,41,77,54,52,44.5,Medium
478,46,41,44,61,54.4,Medium
479,82,86,87,93,14.7,Low
480,93,60,58,74,25.8,Low
481,88,65,69,64,25.1,Low
482,70,50,47,59,41.7,Medium
483,99,81,38,82,20.3,Low
484,56,93,85,38,28.9,Low
485,66,62,36,64,41.4,Medium
486,75,90,32,36,33,Medium
487,98,56,48,31,31.3,Medium
488,89,75,72,72,20.3,Low
489,82,44,74,95,29.7,Low
490,49,99,33,72,36.9,Medium
491,84,75,44,39,31.2,Medium
492,53,44,50,33,52.3,Medium
493,97,76,53,56,22.2,Low
494,46,80,30,96,42,Medium
495,78,65,80,65,26.8,Low
496,79,39,96,22,35.3,Medium
497,48,87,38,38,43.3,Medium
498,53,74,96,74,30,Medium
499,96,72,79,42,20,Low
500,47,43,47,85,50.4,Medium
501,56,93,56,85,30,Medium
502,96,61,30,44,32.9,Medium
503,62,83,42,99,32,Medium
504,96,77,72,52,18.9,Low
505,55,37,73,99,42.4,Medium
506,65,73,56,73,33.6,Medium
507,48,64,31,54,50,Medium
508,75,49,36,78,40.3,Medium
509,46,92,61,84,33.4,Medium
510,57,55,79,86,36.3,Medium
511,47,59,82,80,39.1,Medium
512,60,82,31,96,35.6,Medium
513,65,74,33,95,35.7,Medium
514,42,83,40,28,47.5,Medium
515,56,73,41,44,43.1,Medium
516,96,48,40,90,30.2,Medium
517,90,55,36,38,36.5,Medium
518,85,51,72,34,32.9,Medium
519,63,96,48,91,27.3,Low
520,64,55,84,33,37.8,Medium
521,44,95,33,46,42.7,Medium
522,76,45,31,89,41,Medium
523,84,88,40,89,23.1,Low
524,89,88,79,69,15.3,Low
525,63,82,80,27,31.5,Medium
526,70,31,71,63,42.2,Medium
527,94,43,79,89,24.8,Low
528,65,59,76,41,37,Medium
529,60,74,38,86,37.6,Medium
530,73,53,39,91,38,Medium
531,77,99,56,61,22.2,Low
532,97,96,83,39,11.9,Low
533,63,99,98,77,17.8,Low
534,67,45,42,95,41.8,Medium
535,69,68,63,74,32,Medium
536,73,81,91,81,20.2,Low
537,91,46,97,26,27.8,Low
538,93,61,31,55,32.8,Medium
539,95,54,31,42,35.4,Medium
540,91,93,80,35,16.2,Low
541,62,39,61,96,41.7,Medium
542,94,33,30,91,37.4,Medium
543,47,40,85,78,44.4,Medium
544,81,67,47,43,33.8,Medium
545,89,47,86,63,26.8,Low
546,49,96,56,92,31.2,Medium
547,94,98,62,90,11.6,Low
548,40,65,85,71,40.4,Medium
549,59,59,44,73,42.6,Medium
550,96,87,59,39,19.8,Low
551,76,64,35,72,36.2,Medium
552,57,46,92,70,38,Medium
553,60,87,62,61,31.4,Medium
554,93,80,94,93,10.7,Low
555,88,68,44,48,30.8,Medium
556,43,85,69,82,35.3,Medium
557,82,56,89,90,23.6,Low
558,41,55,75,75,44.6,Medium
559,60,62,58,27,43.1,Medium
560,76,74,88,54,24.4,Low
561,44,30,37,86,57.4,Medium
562,56,78,99,88,25.6,Low
563,88,59,53,76,28.9,Low
564,87,66,87,62,21.8,Low
565,50,58,71,39,44.5,Medium
566,85,46,88,99,24.7,Low
567,80,38,74,59,35.9,Medium
568,70,64,61,61,34.5,Medium
569,67,76,88,60,26.8,Low
570,83,62,54,37,33.7,Medium
571,71,90,59,61,26.7,Low
572,60,51,69,30,43.9,Medium
573,46,73,71,32,42.3,Medium
574,49,72,53,85,39.7,Medium
575,67,95,86,94,18.1,Low
576,87,76,65,86,20.8,Low
577,75,96,67,42,23.6,Low
578,59,57,63,91,37.6,Medium
579,52,79,96,46,31.7,Medium
580,58,51,58,56,44.3,Medium
581,89,48,72,58,29.8,Low
582,50,64,75,59,39.9,Medium
583,74,80,52,69,29.1,Low
584,73,54,68,74,33.6,Medium
585,83,58,37,24,39.6,Medium
586,43,54,57,59,49.3,Medium
587,52,58,65,95,39.3,Medium
588,76,53,51,54,38.1,Medium
589,98,99,69,99,7.4,Low
590,41,99,49,28,41.3,Medium
591,89,63,72,86,22.5,Low
592,40,64,53,64,47.8,Medium
593,79,79,92,68,19.5,Low
594,64,82,76,21,32.5,Medium
595,98,82,47,44,22.4,Low
596,76,93,66,35,25,Low
597,75,75,78,54,26.5,Low
598,45,50,95,56,42.4,Medium
599,46,73,78,77,36.4,Medium
600,43,81,58,79,39,Medium
601,74,50,38,26,45.2,Medium
602,97,82,78,61,14.9,Low
603,80,82,77,52,22.8,Low
604,73,68,90,32,29.2,Low
605,68,36,67,82,40.4,Medium
606,44,88,95,79,29.1,Low
607,66,46,81,50,38.6,Medium
608,72,48,37,98,39.6,Medium
609,96,53,97,85,17.8,Low
610,85,48,41,64,37,Medium
611,91,90,89,83,10.5,Low
612,49,68,46,98,41,Medium
613,93,83,96,37,15,Low
614,45,78,55,33,44.3,Medium
615,73,80,33,36,36.6,Medium
616,47,59,59,32,48.5,Medium
617,70,74,50,52,34.6,Medium
618,48,52,30,79,51.3,Medium
619,94,31,47,96,34.1,Medium
620,60,87,62,26,34.9,Medium
621,47,52,36,22,56.2,Medium
622,43,92,66,30,39,Medium
623,61,77,77,40,33.1,Medium
624,67,96,75,39,25.5,Low
625,84,71,89,88,18.5,Low
626,43,81,45,43,45.2,Medium
627,78,71,64,89,25.8,Low
628,60,37,50,25,52.4,Medium
629,47,98,83,62,29,Low
630,59,96,90,74,22.2,Low
631,71,93,91,88,16.7,Low
632,40,43,63,36,54.9,Medium
633,45,58,88,35,43.5,Medium
634,67,68,76,74,30.2,Medium
635,83,34,36,49,44.5,Medium
636,70,68,48,33,38.7,Medium
637,49,91,42,66,38.1,Medium
638,59,41,46,46,50.3,Medium
639,47,36,79,98,44.8,Medium
640,61,94,53,79,28.9,Low
641,77,64,76,21,32.7,Medium
642,68,95,66,23,28.8,Low
643,48,51,49,39,51.8,Medium
644,83,55,40,59,36.4,Medium
645,86,99,81,32,16.5,Low
646,40,53,58,92,47.3,Medium
647,80,57,72,96,26.9,Low
648,91,68,89,55,19.9,Low
649,78,81,47,78,27.3,Low
650,65,42,88,89,34.9,Medium
651,50,51,72,55,44.8,Medium
652,91,75,44,66,25.7,Low
653,74,38,99,34,35.8,Medium
654,99,31,48,45,37,Medium
655,63,58,46,65,41.7,Medium
656,72,81,34,71,33,Medium
657,59,76,54,71,35.7,Medium
658,66,35,75,97,38.4,Medium
659,54,47,54,28,50.7,Medium
660,72,75,36,34,38.1,Medium
661,91,64,37,44,32.6,Medium
662,46,91,48,86,36.1,Medium
663,73,42,69,45,39.9,Medium
664,84,82,67,87,19.7,Low
665,99,40,98,69,21.9,Low
666,97,74,30,41,28.9,Low
667,90,36,64,31,37.3,Medium
668,85,72,72,98,20.2,Low
669,81,66,98,79,20.3,Low
670,44,78,56,69,40.9,Medium
671,97,56,68,67,24.1,Low
672,69,50,30,28,48.6,Medium
673,67,49,66,25,42.8,Medium
674,57,30,55,56,51.6,Medium
675,75,87,54,58,27.3,Low
676,42,81,39,37,47.4,Medium
677,60,66,90,25,35.7,Medium
678,85,78,88,88,16.2,Low
679,97,48,56,67,28.9,Low
680,55,67,50,48,43.1,Medium
681,95,47,96,95,19.2,Low
682,76,40,53,58,41.2,Medium
683,81,79,60,81,23.8,Low
684,44,69,63,49,44.2,Medium
685,89,54,94,83,21.1,Low
686,90,94,44,81,18.9,Low
687,53,87,84,86,27.3,Low
688,70,64,95,54,28.4,Low
689,85,83,34,42,30.1,Medium
690,63,73,67,35,36,Medium
691,74,97,79,26,22.9,Low
692,75,60,68,55,32.9,Medium
693,49,64,69,94,38,Medium
694,66,47,33,61,46.8,Medium
695,95,42,34,62,36.4,Medium
696,66,80,33,74,35.6,Medium
697,94,88,53,65,18.9,Low
698,62,39,41,25,52.8,Medium
699,52,98,68,41,32.1,Medium
700,55,93,37,69,35.8,Medium
701,74,52,81,85,30.1,Medium
702,66,57,98,92,27.7,Low
703,91,63,64,64,25.5,Low
704,78,53,62,20,38.5,Medium
705,86,85,58,82,20.3,Low
706,56,66,93,47,34.5,Medium
707,87,57,73,98,23.7,Low
708,98,78,30,98,21.6,Low
709,80,56,84,79,26.5,Low
710,40,93,86,88,30.1,Medium
711,50,74,55,79,38.9,Medium
712,51,96,53,59,34.3,Medium
713,53,51,49,54,48.3,Medium
714,47,31,45,45,58.4,Medium
715,70,34,95,52,37.6,Medium
716,46,89,73,68,33.5,Medium
717,85,55,76,92,25.1,Low
718,93,88,31,51,25.1,Low
719,70,98,84,89,16.9,Low
720,55,61,85,49,37.8,Medium
721,81,30,41,35,46.9,Medium
722,78,99,33,21,30.4,Medium
723,93,88,60,28,21.6,Low
724,83,62,64,22,33.2,Medium
725,58,42,99,47,39.7,Medium
726,47,90,96,86,26.4,Low
727,68,82,39,22,38.2,Medium
728,41,93,33,81,41,Medium
729,81,57,78,26,32.3,Medium
730,42,76,44,28,48.8,Medium
731,90,74,53,23,28.9,Low
732,68,45,93,69,33.8,Medium
733,54,66,43,92,40.8,Medium
734,77,88,63,48,25.4,Low
735,67,46,61,96,37.6,Medium
736,94,32,31,93,37.3,Medium
737,76,92,53,67,24.7,Low
738,71,74,80,58,27.6,Low
739,69,82,92,82,21.2,Low
740,90,98,33,20,26,Low
741,86,52,86,66,26.2,Low
742,69,86,54,79,27.9,Low
743,90,55,37,22,37.9,Medium
744,73,97,91,57,17.8,Low
745,52,57,99,59,36.4,Medium
746,72,61,66,47,35,Medium
747,81,47,96,69,27.4,Low
748,56,31,95,30,46.3,Medium
749,42,71,95,39,39,Medium
750,48,75,54,60,41.5,Medium
751,91,69,48,62,27.1,Low
752,50,85,57,52,37.9,Medium
753,88,59,70,66,26.5,Low
754,66,43,59,55,43.4,Medium
755,67,78,83,70,26.2,Low
756,96,96,79,36,13.4,Low
757,96,50,34,44,35.4,Medium
758,41,63,64,42,47.7,Medium
759,40,78,68,35,43.5,Medium
760,45,73,74,93,36,Medium
761,64,36,74,57,43.1,Medium
762,74,74,60,56,30.6,Medium
763,55,30,54,75,50.7,Medium
764,43,56,64,91,44.1,Medium
765,86,54,83,61,26.7,Low
766,77,98,41,41,27.5,Low
767,83,83,74,36,23.5,Low
768,59,41,32,97,48,Medium
769,64,31,77,65,43.2,Medium
770,46,32,91,77,46.1,Medium
771,60,97,46,36,34.1,Medium
772,46,32,88,39,50.5,Medium
773,68,67,34,56,40.3,Medium
774,91,58,97,67,20.1,Low
775,46,60,74,52,43.6,Medium
776,42,54,77,22,49.4,Medium
777,68,95,61,90,23.1,Low
778,68,97,57,41,28.2,Low
779,78,63,83,84,24.9,Low
780,77,38,78,48,37.4,Medium
781,99,95,71,75,10.2,Low
782,45,54,32,56,53.8,Medium
783,85,68,43,34,33.6,Medium
784,49,72,99,43,34.7,Medium
785,76,84,98,74,17.4,Low
786,94,37,58,38,35.9,Medium
787,53,37,68,75,46.6,Medium
788,61,96,70,53,27.5,Low
789,99,97,56,41,16,Low
790,71,35,52,76,43.1,Medium
791,57,37,83,75,42,Medium
792,75,45,63,48,39.1,Medium
793,85,68,67,59,26.3,Low
794,91,76,79,85,16.5,Low
795,98,94,74,70,10.8,Low
796,48,53,65,67,45.2,Medium
797,65,46,37,75,45.3,Medium
798,61,96,67,44,29,Low
799,85,93,89,72,13.1,Low
